powiat,miasto,wojewodztwo,powierzchnia_km2,ludnosc,gestosc_zaludnienia
powiat aleksandrowski,Aleksandrów Kujawski,kujawsko-pomorskie,"474,63",55 007,"115,89"
powiat augustowski,Augustów,podlaskie,"1659,39",57 908,"34,9"
powiat bartoszycki,Bartoszyce,warmińsko-mazurskie,"1307,49",56 891,"43,51"
powiat bełchatowski,Bełchatów,łódzkie,"967,6",112 702,"116,48"
powiat będziński,Będzin,śląskie,"364,13",147 816,"405,94"
powiat bialski,Biała Podlaska,lubelskie,"2754,26",110 454,"40,1"
Biała Podlaska,Biała Podlaska,lubelskie,"49,4",57 194,"1 157,77"
powiat białobrzeski,Białobrzegi,mazowieckie,"639,1",33 332,"52,15"
powiat białogardzki,Białogard,zachodniopomorskie,"845,46",47 434,"56,1"
powiat białostocki,Białystok,podlaskie,"2976,44",150 333,"50,51"
Białystok,Białystok,podlaskie,"102,13",297 585,"2 913,79"
powiat bielski,Bielsko-Biała,śląskie,"458,64",166 215,"362,41"
powiat bielski,Bielsk Podlaski,podlaskie,"1385,09",54 058,"39,03"
Bielsko-Biała,Bielsko-Biała,śląskie,"124,51",170 303,"1 367,79"
powiat bieruńsko-lędziński,Bieruń,śląskie,"158,15",59 864,"378,53"
powiat bieszczadzki,Ustrzyki Dolne,podkarpackie,"1139,07",21 576,"18,94"
powiat biłgorajski,Biłgoraj,lubelskie,"1681,1",100 617,"59,85"
powiat bocheński,Bochnia,małopolskie,"648,56",107 023,"165,02"
powiat bolesławiecki,Bolesławiec,dolnośląskie,"1303,51",90 032,"69,07"
powiat braniewski,Braniewo,warmińsko-mazurskie,"1201,65",40 927,"34,06"
powiat brodnicki,Brodnica,kujawsko-pomorskie,"1039,97",79 129,"76,09"
powiat brzeski,Brzesko,małopolskie,"590,52",93 125,"157,7"
powiat brzeski,Brzeg,opolskie,"875,96",89 632,"102,32"
powiat brzeziński,Brzeziny,łódzkie,"358,56",30 793,"85,88"
powiat brzozowski,Brzozów,podkarpackie,"539,34",65 523,"121,49"
powiat buski,Busko-Zdrój,świętokrzyskie,968,71 451,"73,81"
powiat bydgoski,Bydgoszcz,kujawsko-pomorskie,"1394,12",119 448,"85,68"
Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,"175,98",346 739,"1 970,33"
Bytom,Bytom,śląskie,"69,44",164 447,"2 368,19"
powiat bytowski,Bytów,pomorskie,"2192,07",79 136,"36,1"
Chełm,Chełm,lubelskie,"35,28",61 588,"1 745,69"
powiat chełmiński,Chełmno,kujawsko-pomorskie,"526,94",51 817,"98,34"
powiat chełmski,Chełm,lubelskie,"1885,6",77 752,"41,23"
powiat chodzieski,Chodzież,wielkopolskie,"685,06",46 955,"68,54"
powiat chojnicki,Chojnice,pomorskie,"1364,21",97 677,"71,6"
Chorzów,Chorzów,śląskie,"33,24",107 443,"3 232,34"
powiat choszczeński,Choszczno,zachodniopomorskie,"1327,63",48 035,"36,18"
powiat chrzanowski,Chrzanów,małopolskie,"370,12",124 190,"335,54"
powiat ciechanowski,Ciechanów,mazowieckie,"1059,8",89 213,"84,18"
powiat cieszyński,Cieszyn,śląskie,"730,29",178 005,"243,75"
powiat czarnkowsko-trzcianecki,Czarnków,wielkopolskie,"1806,05",86 868,"48,1"
Częstochowa,Częstochowa,śląskie,"159,71",219 278,"1 372,98"
powiat częstochowski,Częstochowa,śląskie,"1522,05",134 341,"88,26"
powiat człuchowski,Człuchów,pomorskie,"1575,27",55 933,"35,51"
Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie,"188,73",118 899,630
powiat dąbrowski,Dąbrowa Tarnowska,małopolskie,"530,25",59 147,"111,55"
powiat dębicki,Dębica,podkarpackie,"777,48",135 282,174
powiat drawski,Drawsko Pomorskie,zachodniopomorskie,"1764,24",56 842,"32,22"
powiat działdowski,Działdowo,warmińsko-mazurskie,"953,93",64 966,"68,1"
powiat dzierżoniowski,Dzierżoniów,dolnośląskie,"478,51",100 519,"210,07"
Elbląg,Elbląg,warmińsko-mazurskie,"79,82",119 097,"1 492,07"
powiat elbląski,Elbląg,warmińsko-mazurskie,"1415,58",57 056,"40,31"
powiat ełcki,Ełk,warmińsko-mazurskie,"1112,79",91 613,"82,33"
powiat garwoliński,Garwolin,mazowieckie,"1284,83",108 940,"84,79"
Gdańsk,Gdańsk,pomorskie,"261,96",471 525,"1 799,99"
powiat gdański,Pruszcz Gdański,pomorskie,"793,75",119 362,"150,38"
Gdynia,Gdynia,pomorskie,"135,14",245 867,"1 819,35"
powiat giżycki,Giżycko,warmińsko-mazurskie,"1119,51",56 465,"50,44"
Gliwice,Gliwice,śląskie,"133,88",178 186,"1 330,94"
powiat gliwicki,Gliwice,śląskie,"664,37",115 540,"173,91"
powiat głogowski,Głogów,dolnośląskie,"443,27",88 852,"200,45"
powiat głubczycki,Głubczyce,opolskie,"672,63",45 291,"67,33"
powiat gnieźnieński,Gniezno,wielkopolskie,"1255,03",145 393,"115,85"
powiat goleniowski,Goleniów,zachodniopomorskie,"1615,48",82 396,51
powiat golubsko-dobrzyński,Golub-Dobrzyń,kujawsko-pomorskie,"612,85",44 952,"73,35"
powiat gołdapski,Gołdap,warmińsko-mazurskie,"772,29",26 625,"34,48"
powiat gorlicki,Gorlice,małopolskie,"966,46",108 778,"112,55"
powiat gorzowski,Gorzów Wielkopolski,lubuskie,"1214,23",72 054,"59,34"
Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,"85,72",123 341,"1 438,88"
powiat gostyniński,Gostynin,mazowieckie,"614,81",44 761,"72,8"
powiat gostyński,Gostyń,wielkopolskie,"810,25",75 907,"93,68"
powiat górowski,Góra,dolnośląskie,"738,27",34 698,47
powiat grajewski,Grajewo,podlaskie,"967,62",47 039,"48,61"
powiat grodziski,Grodzisk Mazowiecki,mazowieckie,"367,04",96 698,"263,45"
powiat grodziski,Grodzisk Wielkopolski,wielkopolskie,"641,87",51 940,"80,92"
powiat grójecki,Grójec,mazowieckie,"1267,73",98 173,"77,44"
Grudziądz,Grudziądz,kujawsko-pomorskie,"57,76",94 076,"1 628,74"
powiat grudziądzki,Grudziądz,kujawsko-pomorskie,"727,76",40 202,"55,24"
powiat gryficki,Gryfice,zachodniopomorskie,"1021,05",60 025,"58,79"
powiat gryfiński,Gryfino,zachodniopomorskie,"1869,11",81 598,"43,66"
powiat hajnowski,Hajnówka,podlaskie,"1623,53",42 293,"26,05"
powiat hrubieszowski,Hrubieszów,lubelskie,"1268,02",62 473,"49,27"
powiat iławski,Iława,warmińsko-mazurskie,"1385,22",92 826,"67,01"
powiat inowrocławski,Inowrocław,kujawsko-pomorskie,"1225,18",159 311,"130,03"
powiat janowski,Janów Lubelski,lubelskie,"875,28",45 503,"51,99"
powiat jarociński,Jarocin,wielkopolskie,"587,29",71 507,"121,76"
powiat jarosławski,Jarosław,podkarpackie,"1028,66",120 097,"116,75"
powiat jasielski,Jasło,podkarpackie,"830,87",113 226,"136,27"
Jastrzębie-Zdrój,Jastrzębie-Zdrój,śląskie,"85,33",88 425,"1 036,27"
powiat jaworski,Jawor,dolnośląskie,"581,55",49 937,"85,87"
Jaworzno,Jaworzno,śląskie,"152,59",90 759,"594,79"
powiat jeleniogórski,Jelenia Góra,dolnośląskie,"109,22",78 778,"721,28"
Jelenia Góra,Jelenia Góra,dolnośląskie,"109,22",78 778,"721,28"
powiat jędrzejowski,Jędrzejów,świętokrzyskie,"1256,96",85 179,"67,77"
powiat kaliski,Kalisz,wielkopolskie,"1159,99",83 035,"71,58"
Kalisz,Kalisz,wielkopolskie,"69,42",99 761,"1 437,06"
powiat kamiennogórski,Kamienna Góra,dolnośląskie,"395,69",43 055,"108,81"
powiat kamieński,Kamień Pomorski,zachodniopomorskie,"1007,16",46 861,"46,53"
powiat karkonoski[e],Jelenia Góra,dolnośląskie,"627,14",63 388,"101,07"
powiat kartuski,Kartuzy,pomorskie,"1120,54",140 770,"125,63"
Katowice,Katowice,śląskie,"164,64",291 774,"1 772,19"
powiat kazimierski,Kazimierza Wielka,świętokrzyskie,"422,18",33 489,"79,32"
powiat kędzierzyńsko-kozielski,Kędzierzyn-Koźle,opolskie,"625,13",93 544,"149,64"
powiat kępiński,Kępno,wielkopolskie,"608,26",56 428,"92,77"
powiat kętrzyński,Kętrzyn,warmińsko-mazurskie,"1212,99",62 054,"51,16"
Kielce,Kielce,świętokrzyskie,"109,65",194 218,"1 771,25"
powiat kielecki,Kielce,świętokrzyskie,"2246,07",211 259,"94,06"
powiat kluczborski,Kluczbork,opolskie,"851,91",65 266,"76,61"
powiat kłobucki,Kłobuck,śląskie,"888,59",84 501,"95,1"
powiat kłodzki,Kłodzko,dolnośląskie,"1643,3",157 191,"95,66"
powiat kolbuszowski,Kolbuszowa,podkarpackie,"773,17",62 196,"80,44"
powiat kolneński,Kolno,podlaskie,"940,1",37 983,"40,4"
powiat kolski,Koło,wielkopolskie,"1010,71",86 473,"85,56"
powiat kołobrzeski,Kołobrzeg,zachodniopomorskie,"724,66",79 399,"109,57"
powiat konecki,Końskie,świętokrzyskie,"1139,72",79 525,"69,78"
Konin,Konin,wielkopolskie,"82,31",73 176,"889,03"
powiat koniński,Konin,wielkopolskie,"1578,24",130 005,"82,37"
Koszalin,Koszalin,zachodniopomorskie,"98,34",106 880,"1 086,84"
powiat koszaliński,Koszalin,zachodniopomorskie,"1653,46",66 465,"40,2"
powiat kościański,Kościan,wielkopolskie,"722,42",79 114,"109,51"
powiat kościerski,Kościerzyna,pomorskie,"1165,67",72 808,"62,46"
powiat kozienicki,Kozienice,mazowieckie,"916,1",59 793,"65,27"
powiat krakowski,Kraków,małopolskie,"1230,52",280 403,"227,87"
Kraków,Kraków,małopolskie,"326,85",780 981,"2 389,42"
powiat krapkowicki,Krapkowice,opolskie,"441,8",63 580,"143,91"
powiat krasnostawski,Krasnystaw,lubelskie,"1031,44",62 940,"61,02"
powiat kraśnicki,Kraśnik,lubelskie,"1005,3",95 064,"94,56"
Krosno,Krosno,podkarpackie,"43,5",46 139,"1 060,67"
powiat krośnieński,Krosno,podkarpackie,"993,11",112 195,"112,97"
powiat krośnieński,Krosno Odrzańskie,lubuskie,"1391,25",54 706,"39,32"
powiat krotoszyński,Krotoszyn,wielkopolskie,"713,68",77 182,"108,15"
powiat kutnowski,Kutno,łódzkie,"886,86",96 126,"108,39"
powiat kwidzyński,Kwidzyn,pomorskie,"834,7",83 028,"99,47"
powiat legionowski,Legionowo,mazowieckie,"390,76",119 306,"305,32"
Legnica,Legnica,dolnośląskie,"56,29",99 072,"1 760,03"
powiat legnicki,Legnica,dolnośląskie,"744,08",55 210,"74,2"
powiat leski,Lesko,podkarpackie,"834,94",26 413,"31,63"
powiat leszczyński,Leszno,wielkopolskie,"805,81",57 544,"71,41"
Leszno,Leszno,wielkopolskie,"31,86",63 323,"1 987,54"
powiat leżajski,Leżajsk,podkarpackie,"583,71",69 233,"118,61"
powiat lęborski,Lębork,pomorskie,"707,77",66 069,"93,35"
