,miasto,long,lat
0,Adamów (siedleckie),22.25,51.75
1,Adamów (zamojskie),23.166666666666668,50.6
2,Adamówka,22.7,50.266666666666666
3,Aleksandrów,19.983333333333334,51.266666666666666
4,Aleksandrów Kujawski,18.7,52.88333333333333
5,Aleksandrów Łódzki,19.316666666666666,51.81666666666667
6,Alwernia,19.533333333333335,50.06666666666667
7,Andrespol,19.616666666666667,51.733333333333334
8,Andrychów,19.333333333333332,49.86666666666667
9,Andrzejewo,22.2,52.833333333333336
10,Annopol,21.866666666666667,50.88333333333333
11,Augustów,22.966666666666665,53.85
12,Babiak,18.683333333333334,52.333333333333336
13,Babice,19.433333333333334,50.06666666666667
14,Babimost,15.833333333333334,52.15
15,Baborów,17.983333333333334,50.15
16,Baboszewo,20.25,52.7
17,Baćkowice,21.233333333333334,50.8
18,Bakałarzewo,22.65,54.1
19,Baligród,22.283333333333335,49.35
20,Bałtów,21.533333333333335,51.016666666666666
21,Banie,14.633333333333333,53.1
22,Banie Mazurskie,22.05,54.25
23,Baranowicze,26.033333333333335,53.13333333333333
24,Baranowo,21.3,53.18333333333333
25,Baranów (kaliskie),18.0,51.266666666666666
26,Baranów (lubelskie),22.15,51.56666666666667
27,Baranów (skierniewickie,20.466666666666665,52.11666666666667
28,Baranów Sandomierski,21.55,50.5
29,Barciany,21.35,54.21666666666667
30,Barcin,17.95,52.86666666666667
31,Barczewo,20.683333333333334,53.833333333333336
32,Bardo,16.75,50.516666666666666
33,Bargłów Kościelny,22.833333333333332,53.766666666666666
34,Barlinek,15.216666666666667,52.983333333333334
35,Bartoszyce,20.8,54.25
36,Baruchowo,19.25,52.5
37,Barwice,16.35,53.733333333333334
38,Batorz,22.5,50.833333333333336
39,Bądkowo,18.78333333333333,52.7
40,Bedlno,19.566666666666666,52.21666666666667
41,Bejsce,20.6,50.25
42,Belsk Duży,20.816666666666666,51.833333333333336
43,Bełchatów,19.366666666666667,51.36666666666667
44,Bełżyce,22.283333333333335,51.166666666666664
45,Bestwina,19.05,49.9
46,Będków,19.75,51.583333333333336
47,Będzin,19.133333333333333,50.31666666666667
48,Będzino,15.983333333333333,54.2
49,Biała (opolskie),17.666666666666668,50.38333333333333
50,Biała (sieradzkie),18.45,51.266666666666666
51,Biała Piska,22.066666666666666,53.61666666666667
52,Biała Podlaska,23.116666666666667,52.03333333333333
53,Biała Rawska,20.483333333333334,51.8
54,Białaczów,20.3,51.3
55,Białe Błota,17.916666666666668,53.1
56,Białobrzegi (rzeszow.),22.35,50.11666666666667
57,Białobrzegi (radomskie),20.95,51.65
58,Białogard,15.983333333333333,54.0
59,Białopole,23.733333333333334,50.983333333333334
60,Białośliwie,17.116666666666667,53.1
61,Białowieża,23.866666666666667,52.7
62,Biały Bór,16.833333333333332,53.733333333333334
63,Biały Dunajec,20.033333333333335,49.36666666666667
64,Białystok,23.166666666666668,53.13333333333333
65,Biecz,21.266666666666666,49.733333333333334
66,Bielany,22.25,52.333333333333336
67,Bielawa,16.616666666666667,50.7
68,Bielawy,19.65,52.06666666666667
69,Bielice,14.716666666666667,53.2
70,Bieliny,20.916666666666668,50.85
71,Bielsk,19.8,52.68333333333333
72,Bielsk Podlaski,23.2,52.766666666666666
73,Bielsko-Biała,19.066666666666666,49.833333333333336
74,Bierawa,18.266666666666666,50.28333333333333
75,Bierutów,17.55,51.11666666666667
76,Bierzwnik,15.666666666666666,53.03333333333333
77,Biesiekierz,16.05,54.13333333333333
78,Bieżuń,19.866666666666667,52.95
79,Biłgoraj,22.716666666666665,50.53333333333333
80,Bircza,22.466666666666665,49.7
81,Biskupice,20.116666666666667,49.96666666666667
82,Biskupiec (toruńskie),19.35,53.5
83,Biskupiec (olsztyńskie),20.95,53.86666666666667
84,Biszcza,22.633333333333333,50.416666666666664
85,Bisztynek,20.9,54.083333333333336
86,Blachownia,18.966666666666665,50.78333333333333
87,Bledzew,15.4,52.516666666666666
88,Blizanów,18.016666666666666,51.9
89,Bliżyn,20.75,51.1
90,Błaszki,18.433333333333334,51.65
91,Błażowa,22.1,49.9
92,Błędów,20.7,51.78333333333333
93,Błonie,20.6,52.2
94,Bobolice,16.583333333333332,53.95
95,Bobowa,20.95,49.71666666666667
96,Bobrowice,15.083333333333334,51.95
97,Bobrowniki (katowickie),18.983333333333334,50.38333333333333
98,Bobrowniki (włocławskie,18.966666666666665,52.766666666666666
99,Bobrowo,19.266666666666666,53.28333333333333
100,Bochnia,20.416666666666668,49.96666666666667
101,Boćki,23.033333333333335,52.65
102,Bodzanów,20.033333333333335,52.516666666666666
103,Bodzechów,21.383333333333333,50.85
104,Bodzentyn,20.95,50.95
105,Bogatynia,14.95,50.9
106,Bogdaniec,15.05,52.68333333333333
107,Bogoria,21.25,50.65
108,Boguchwała,21.95,49.983333333333334
109,Boguszów-Gorce,16.2,50.766666666666666
110,Boguty-Pianki,22.416666666666668,52.71666666666667
111,Bojadła,15.816666666666666,51.95
112,Bojanowo,16.75,51.7
113,Bojanów,21.95,50.43333333333333
114,Bolesław,20.883333333333333,50.266666666666666
115,Bolesławiec (kaliskie),18.2,51.2
116,Bolesławiec (jeleniog.),15.566666666666666,51.266666666666666
117,Boleszkowice,14.55,52.71666666666667
118,Bolimów,20.166666666666668,52.083333333333336
119,Bolków,16.1,50.916666666666664
120,Boniewo,18.9,52.46666666666667
121,Borek Wielkopolski,17.25,51.916666666666664
122,Borki,22.533333333333335,51.733333333333334
123,Borkowice,20.7,51.31666666666667
124,Borowa,21.35,50.38333333333333
125,Borowiczki,19.75,52.516666666666666
126,Borowie,21.766666666666666,51.95
127,Borów,17.0,50.88333333333333
128,Borysław,23.45,49.266666666666666
129,Borzechów,22.283333333333335,51.1
130,Borzęcin,20.7,50.1
131,Borzytuchom,17.383333333333333,54.21666666666667
132,Branice,17.78333333333333,50.05
133,Braniewo,19.833333333333332,54.38333333333333
134,Brańsk,22.833333333333332,52.75
135,Brańszczyk,21.6,52.61666666666667
136,Brasław,27.033333333333335,55.63333333333333
137,Brąszewice,18.45,51.5
138,Brodnica (poznańskie),16.883333333333333,52.15
139,Brodnica (toruńskie),19.4,53.25
140,Brody (kieleckie),21.233333333333334,51.03333333333333
141,Brody (zielonogórskie),14.75,51.75
142,Brody,25.166666666666668,50.1
143,Brojce,15.35,53.95
144,Brok,21.85,52.7
145,Brójce,19.633333333333333,51.666666666666664
146,Brudzeń Duży,19.483333333333334,52.666666666666664
147,Brudzew,18.6,52.1
148,Brusy,17.733333333333334,53.88333333333333
149,Brwinów,20.716666666666665,52.13333333333333
150,Brzeg,17.483333333333334,50.86666666666667
151,Brzeg Dolny,16.716666666666665,51.266666666666666
152,Brzesko,20.616666666666667,49.96666666666667
153,Brzeszcze,19.15,49.983333333333334
154,Brześć Kujawski,18.883333333333333,52.61666666666667
155,Brześć nad Bugiem,23.7,52.1
156,Brzeziny (kaliskie),18.266666666666666,51.6
157,Brzeziny (skierniewic.),19.75,51.8
158,Brzeźnica (bielskie),19.616666666666667,49.96666666666667
159,Brzeźnica (zielonogór.),15.4,51.71666666666667
160,Brzeźnio,18.633333333333333,51.5
161,Brzeźno,15.783333333333333,53.7
162,Brzeżany,24.933333333333334,49.45
163,Brzostek,21.416666666666668,49.88333333333333
164,Brzozie,19.6,53.31666666666667
165,Brzozów,22.033333333333335,49.7
166,Brzuze,19.25,53.05
167,Brzyska,21.383333333333333,49.81666666666667
168,Buczacz,25.383333333333333,49.06666666666667
169,Buczek,19.166666666666668,51.5
170,Budry,21.883333333333333,54.25
171,Budzów,19.683333333333334,49.78333333333333
172,Budzyń,16.983333333333334,52.9
173,Buk,16.516666666666666,52.36666666666667
174,Bukowiec,18.233333333333334,53.43333333333333
175,Bukowina Tatrzańska,20.1,49.333333333333336
176,Bukowno,19.433333333333334,50.266666666666666
177,Bukowsko,22.05,49.483333333333334
178,Bulkowo,20.116666666666667,52.55
179,Burzenin,18.833333333333332,51.45
180,Busko Zdrój,20.8,50.46666666666667
181,Bychawa,22.55,51.016666666666666
182,Byczyna,18.216666666666665,51.11666666666667
183,Bydgoszcz,18.0,53.11666666666667
184,Bystrzyca Kłodzka,16.633333333333333,50.3
185,Bytnica,15.15,52.15
186,Bytom,18.9,50.38333333333333
187,Bytom Odrzański,15.833333333333334,51.733333333333334
188,Bytoń,18.583333333333332,52.56666666666667
189,Bytów,17.5,54.166666666666664
190,Cedry Wielkie,18.85,54.25
191,Cedynia,14.2,52.88333333333333
192,Cegłów,21.733333333333334,52.15
193,Cekcyn,18.016666666666666,53.583333333333336
194,Ceków-Kolonia,18.3,51.88333333333333
195,Celestynów,21.383333333333333,52.05
196,Ceranów,22.233333333333334,52.63333333333333
197,Cewice,17.733333333333334,54.45
198,Charsznica,19.933333333333334,50.416666666666664
199,Chąśno,19.933333333333334,52.18333333333333
200,Chełm,23.483333333333334,51.13333333333333
201,Chełmek,19.233333333333334,50.1
